paper_A_title,paper_B_title,paper_A_authors,paper_B_authors,similarity
"Multi-temporal analysis and scaling relations of 100,000,000,000 network packets",Graphblas on the edge: Anonymized high performance streaming of network traffic,Jeremy Kepner and Chad Meiners and Chansup Byun and Sarah McGuire and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Raul Harnasch and Matthew Hubbell and Micheal Houle and Micheal Jones and Andrew Kirby and Anna Klein and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Adam Tse and Charles Yee and Peter Michaleas,Michael Jones and Jeremy Kepner and Daniel Andersen and Aydin Buluç and Chansup Byun and K Claffy and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and Chad Meiners and Lauren Milechin and Julie Mullen and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Jon Sreekanth and Doug Stetson and Charles Yee and Peter Michaleas,0.9363
"A hash table without hash functions, and how to get the most out of your random bits",Towards an Analysis of Quadratic Probing,William Kuszmaul,William Kuszmaul and Zoe Xi,0.9363
Distilling model failures as directions in latent space,"The journey, not the destination: How data guides diffusion models",Saachi Jain and Hannah Lawrence and Ankur Moitra and Aleksander Madry,Kristian Georgiev and Joshua Vendrow and Hadi Salman and Sung Min Park and Aleksander Madry,0.9362
Linear probing revisited: Tombstones mark the demise of primary clustering,Randomized Data Structures: New Perspectives and Hidden Surprises,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,William Kuszmaul,0.9362
Designing and implementing an AI education program for learners with diverse background at scale,Innovating AI Leadership Education,Andres F Salazar-Gomez and Aikaterini Bagiati and Nicholas Minicucci and Kathleen D Kennedy and Xiaoxue Du and Cynthia Breazeal,Xiaoxue Du and Sharifa Alghowinem and Matthew Taylor and Kate Darling and Cynthia Breazeal,0.9362
Geosynchronous satellite pattern of life node detection and classification,Ai ssa challenge problem: Satellite pattern-of-life characterization dataset and benchmark suite,Haley E Solera and Thomas G Roberts and Richard Linares,Peng Mun Siew and Haley E Solera and Thomas G Roberts and Daniel Jang and Victor Rodriguez-Fernandez and Jonathan P How and Richard Linares,0.9362
Understanding automatic differentiation pitfalls,Transparent checkpointing for automatic differentiation of program loops through expression transformations,Jan Hückelheim and Harshitha Menon and William Moses and Bruce Christianson and Paul Hovland and Laurent Hascoët,Michel Schanen and Sri Hari Krishna Narayanan and Sarah Williamson and Valentin Churavy and William S Moses and Ludger Paehler,0.9361
Learning stability attention in vision-based end-to-end driving policies,ABNet: Attention BarrierNet for Safe and Scalable Robot Learning,Tsun-Hsuan Wang and Wei Xiao and Makram Chahine and Alexander Amini and Ramin Hasani and Daniela Rus,Wei Xiao and Tsun-Hsuan Wang and Daniela Rus,0.9361
Robustaugmix: Joint optimization of natural and adversarial robustness,Understanding frank-wolfe adversarial training,Josue Martinez-Martinez and Olivia Brown,T Tsiligkaridis and J Roberts,0.9361
Keynote talk: large scale parallel sparse matrix streaming graph/network analysis,Prashant Pandey,Jeremy Kepner,Helen Xu and Aydin Buluc,0.936
Characterizing multi-instance gpu for machine learning workloads,Using Multi-Instance GPU for Efficient Operation of Multi-Tenant GPU Clusters,Baolin Li and Viiay Gadepally and Siddharth Samsi and Devesh Tiwari,Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9359
Barriernet: A safety-guaranteed layer for neural networks,Safe neural control for non-affine control systems with differentiable control barrier functions,Wei Xiao and Ramin Hasani and Xiao Li and Daniela Rus,Wei Xiao and Ross Allen and Daniela Rus,0.9359
Programming technologies for engineering quality multicore software,Preliminary Investigation of Productivity Tools for Memory Profiling in Parallel Programs,Tim Tim FS Kaler,Elizabeth Zou,0.9359
"Multi-temporal analysis and scaling relations of 100,000,000,000 network packets",Deployment of real-time network traffic analysis using GraphBLAS hypersparse matrices and D4M associative arrays,Jeremy Kepner and Chad Meiners and Chansup Byun and Sarah McGuire and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Raul Harnasch and Matthew Hubbell and Micheal Houle and Micheal Jones and Andrew Kirby and Anna Klein and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Adam Tse and Charles Yee and Peter Michaleas,Michael Jones and Jeremy Kepner and Andrew Prout and Timothy Davis and William Arcand and David Bestor and William Bergeron and Chansup Byun and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and Lauren Milechin and Guillermo Morales and Julie Mullen and Ritesh Patel and Sandeep Pisharody and Albert Reuther and Antonio Rosa and Siddharth Samsi and Charles Yee and Peter Michaleas,0.9356
"Multi-temporal analysis and scaling relations of 100,000,000,000 network packets",GraphBLAS on the Edge: High Performance Streaming of Network Traffic.,Jeremy Kepner and Chad Meiners and Chansup Byun and Sarah McGuire and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Raul Harnasch and Matthew Hubbell and Micheal Houle and Micheal Jones and Andrew Kirby and Anna Klein and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Adam Tse and Charles Yee and Peter Michaleas,Michael Jones and Jeremy Kepner and Daniel Andersen and Aydin Buluç and Chansup Byun and K Claffy and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Hayden Jananthan and Anna Klein and C Meiners and Lauren Milechin and Julie Mullen and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Jon Sreekanth and Doug Stetson and Charles Yee and Peter Michaleas,0.9356
Linear probing revisited: Tombstones mark the death of primary clustering,Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,William Kuszmaul,0.9356
Efficient d-ary Cuckoo Hashing at High Load Factors by Bubbling Up,Tight Analyses of Ordered and Unordered Linear Probing,William Kuszmaul and Michael Mitzenmacher,Mark Braverman and William Kuszmaul,0.9356
Linear probing revisited: Tombstones mark the demise of primary clustering,Optimal Bounds for Open Addressing Without Reordering,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,Martin Farach-Colton and Andrew Krapivin and William Kuszmaul,0.9355
PARAD: A Work-Efficient Parallel Algorithm for Reverse-Mode Automatic Differentiation∗,Transparent checkpointing for automatic differentiation of program loops through expression transformations,Tim Kaler and Tao B Schardl and Brian Xie and Charles E Leiserson and Jie Chen and Aldo Pareja and Georgios Kollias,Michel Schanen and Sri Hari Krishna Narayanan and Sarah Williamson and Valentin Churavy and William S Moses and Ludger Paehler,0.9355
"Multi-temporal analysis and scaling relations of 100,000,000,000 network packets",Mapping of Internet “Coastlines” via Large Scale Anonymized Network Source Correlations,Jeremy Kepner and Chad Meiners and Chansup Byun and Sarah McGuire and Timothy Davis and William Arcand and Jonathan Bernays and David Bestor and William Bergeron and Vijay Gadepally and Raul Harnasch and Matthew Hubbell and Micheal Houle and Micheal Jones and Andrew Kirby and Anna Klein and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Adam Tse and Charles Yee and Peter Michaleas,Hayden Jananthan and Jeremy Kepner and Michael Jones and William Arcand and David Bestor and William Bergeron and Chansup Byun and Timothy Davis and Vijay Gadepally and Daniel Grant and Michael Houle and Matthew Hubbell and Anna Klein and Lauren Milechin and Guillermo Morales and Andrew Morris and Julie Mullen and Ritesh Patel and Alex Pentl and Sandeep Pisharody and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Tyler Trigg and Gabriel Wachman and Charles Yee and Peter Michaleas,0.9355
Reverse-mode automatic differentiation and optimization of GPU kernels via Enzyme,Automated translation and accelerated solving of differential equations on multiple GPU platforms,William S Moses and Valentin Churavy and Ludger Paehler and Jan Hückelheim and Sri Hari Krishna Narayanan and Michel Schanen and Johannes Doerfert,Utkarsh Utkarsh and Valentin Churavy and Yingbo Ma and Tim Besard and Prakitr Srisuma and Tim Gymnich and Adam R Gerlach and Alan Edelman and George Barbastathis and Richard D Braatz and Christopher Rackauckas,0.9354
Large scale enrichment and statistical cyber characterization of network traffic,Hypersparse network flow analysis of packets with graphblas,Ivan Kawaminami and Arminda Estrada and Youssef Elsakkary and Hayden Jananthan and Aydin Buluç and Tim Davis and Daniel Grant and Michael Jones and Chad Meiners and Andrew Morris and Sandeep Pisharody and Jeremy Kepner,Tyler Trigg and Chad Meiners and Sandeep Pisharody and Hayden Jananthan and Michael Jones and Adam Michaleas and Timothy Davis and Erik Welch and William Arcand and David Bestor and William Bergeron and Chansup Byun and Vijay Gadepally and Micheal Houle and Matthew Hubbell and Anna Klein and Peter Michaleas and Lauren Milechin and Julie Mullen and Andrew Prout and Albert Reuther and Antonio Rosa and Siddharth Samsi and Doug Stetson and Charles Yee and Jeremy Kepner,0.9354
Linear probing revisited: Tombstones mark the death of primary clustering,Tight Analyses of Ordered and Unordered Linear Probing,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,Mark Braverman and William Kuszmaul,0.9354
Opencilk: A modular and extensible software infrastructure for fast task-parallel code,Speedcode: Software Performance Engineering Education via the Coding of Didactic Exercises,Tao B Schardl and I-Ting Angelina Lee,Tim Kaler and Xuhao Chen and Brian Wheatman and Dorothy Curtis and Bruce Hoppe and Tao B Schardl and Charles E Leiserson,0.9353
Strongly history-independent storage allocation: New upper and lower bounds,Optimal Bounds for Open Addressing Without Reordering,William Kuszmaul,Martin Farach-Colton and Andrew Krapivin and William Kuszmaul,0.9353
Brief announcement: Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Mosaic pages: big TLB reach with small pages,William Kuszmaul,Jaehyun Han and Krishnan Gosakan and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Guido Tagliavini and Evan West and Michael A Bender and Abhishek Bhattacharjee and Alex Conway and Martín Farach-Colton and Jayneel Gandhi and Rob Johnson and Sudarsun Kannan and Donald E Porter,0.9353
On the convergence theory of gradient-based model-agnostic meta-learning algorithms,Optimization and Generalization of Minimax Algorithms,Alireza Fallah and Aryan Mokhtari and Asuman Ozdaglar,Sarath Pattathil,0.9352
Robust flight navigation out of distribution with liquid neural networks,Leveraging Low-Rank and Sparse Recurrent Connectivity for Robust Closed-Loop Control,Makram Chahine and Ramin Hasani and Patrick Kao and Aaron Ray and Ryan Shubert and Mathias Lechner and Alexander Amini and Daniela Rus,Neehal Tumma and Mathias Lechner and Noel Loo and Ramin Hasani and Daniela Rus,0.9352
On the optimal time/space tradeoff for hash tables,Optimal Non-Oblivious Open Addressing,Michael A Bender and Martín Farach-Colton and John Kuszmaul and William Kuszmaul and Mingmou Liu,Michael A Bender and William Kuszmaul and Renfei Zhou,0.9352
Flushing without cascades,IcebergHT: High performance PMEM hash tables through stability and low associativity,Michael A Bender and Rathish Das and Martín Farach-Colton and Rob Johnson and William Kuszmaul,Prashant Pandey and Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini and Rob Johnson,0.9352
Gigastep-one billion steps per second multi-agent reinforcement learning,Autonomous flight arcade challenge: Single-and multi-agent learning environments for aerial vehicles,Mathias Lechner and Tim Seyde and Tsun-Hsuan Johnson Wang and Wei Xiao and Ramin Hasani and Joshua Rountree and Daniela Rus,Paul Tylkin and Tsun-Hsuan Wang and Tim Seyde and Kyle Palko and Ross Allen and Alexander Amini and Daniela Rus,0.9352
Space lower bounds for dynamic filters and value-dynamic retrieval,Optimal Bounds for Open Addressing Without Reordering,William Kuszmaul and Stefan Walzer,Martin Farach-Colton and Andrew Krapivin and William Kuszmaul,0.9352
Characterizing multi-instance gpu for machine learning workloads,Network requirements for distributed machine learning training in the cloud,Baolin Li and Viiay Gadepally and Siddharth Samsi and Devesh Tiwari,James Salamy,0.9351
Online List Labeling: Breaking the  Barrier,Tight Analyses of Ordered and Unordered Linear Probing,Michael A Bender and Alex Conway and Martín Farach-Colton and Hanna Komlós and William Kuszmaul and Nicole Wein,Mark Braverman and William Kuszmaul,0.9351
